Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
function	heart development	2	hsa-mir-1, hsa-mir-21	28.5714285714286	0.00929414674188987	0.223059521805357	0.223059521805357
disease	Lichen Planus, Oral	2	hsa-mir-21, hsa-mir-146a	25	0.00244941344415173	0.0809688581314883	0.38210849728767
disease	Diabetes Mellitus	2	hsa-mir-21, hsa-mir-146a	22.2222222222222	0.00313460316617858	0.0809688581314883	0.488998093923859
disease	Reperfusion Injury	2	hsa-mir-146a, hsa-mir-21	14.2857142857143	0.00774069202435129	0.0809688581314883	1
disease	Scleroderma, Systemic	2	hsa-mir-21, hsa-mir-146a	13.3333333333333	0.00888986232907804	0.0809688581314883	1
disease	Focal Epithelial Hyperplasia	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Eczema	1	hsa-mir-146a	100	0.0103806228373703	0.0809688581314883	1
disease	Carcinoma, Ductal, Breast	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Granulosa Cell Tumor	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Chlamydia Infections	1	hsa-mir-146a	100	0.0103806228373703	0.0809688581314883	1
disease	Adenoma	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Neuroma, Acoustic	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Creutzfeldt-Jakob Syndrome	1	hsa-mir-146a	100	0.0103806228373703	0.0809688581314883	1
disease	Gerstmann-Straussler-Scheinker Disease	1	hsa-mir-146a	100	0.0103806228373703	0.0809688581314883	1
disease	Leprosy	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Hypopharyngeal Neoplasms	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Aortic Aneurysm, Abdominal	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Albuminuria	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Osteolysis	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
