Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
disease	Carcinoma, Neuroendocrine	2	hsa-mir-155, hsa-mir-21	100	0.000719627233093258	0.12884992240686	0.130972156422973
disease	Lymphoma, Non-Hodgkin	2	hsa-mir-155, hsa-mir-21	66.6666666666667	0.00212389981989329	0.12884992240686	0.38654976722058
disease	Demyelinating Diseases	2	hsa-mir-21, hsa-mir-155	66.6666666666667	0.00212389981989329	0.12884992240686	0.38654976722058
disease	Liposarcoma	2	hsa-let-7b, hsa-mir-155	50	0.00417902222301022	0.132580586414132	0.76058204458786
disease	Cardiomyopathy, Dilated	2	hsa-mir-155, hsa-mir-21	33.3333333333333	0.0101123684195543	0.132580586414132	1
disease	Liver Neoplasms	3	hsa-mir-30a, hsa-mir-21, hsa-let-7b	15.7894736842105	0.0128862132725647	0.132580586414132	1
disease	Myocardial Infarction	4	hsa-mir-21, hsa-mir-155, hsa-mir-197, hsa-mir-30a	11.1111111111111	0.0134984552766851	0.132580586414132	1
disease	Inflammatory Bowel Diseases	2	hsa-mir-21, hsa-mir-155	28.5714285714286	0.0139286391803138	0.132580586414132	1
disease	Hepatitis C	4	hsa-mir-30a, hsa-mir-155, hsa-mir-21, hsa-let-7b	10.8108108108108	0.0148760539887884	0.132580586414132	1
disease	Lymphoma, Large B-Cell, Diffuse	2	hsa-mir-155, hsa-mir-21	25	0.0182717914559125	0.132580586414132	1
disease	Colitis, Ulcerative	2	hsa-mir-155, hsa-mir-21	25	0.0182717914559125	0.132580586414132	1
disease	Lichen Planus, Oral	2	hsa-mir-21, hsa-mir-155	25	0.0182717914559125	0.132580586414132	1
disease	Hypertension	3	hsa-mir-155, hsa-mir-204, hsa-mir-21	13.6363636363636	0.0194526012846197	0.132580586414132	1
disease	Diabetes Mellitus	2	hsa-mir-21, hsa-mir-155	22.2222222222222	0.0231134810102642	0.132580586414132	1
disease	Renal Insufficiency	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Focal Epithelial Hyperplasia	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Carcinoma, Ductal, Breast	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Granulosa Cell Tumor	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Colorectal Neoplasms, Hereditary Nonpolyposis	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Francisella	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Fibroblasts	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Adenoma	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Neuroma, Acoustic	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Cystic Fibrosis	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Intervertebral Disk	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Encephalomyelitis, Autoimmune, Experimental	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Gastritis, Atrophic	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Colitis	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Leprosy	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Hypopharyngeal Neoplasms	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Cataract	1	hsa-let-7b	100	0.027681660899654	0.132580586414132	1
disease	Aortic Aneurysm, Abdominal	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Albuminuria	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Graft vs Host Disease	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Osteolysis	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Nerve Sheath Neoplasms	1	hsa-mir-204	100	0.027681660899654	0.132580586414132	1
disease	Diabetes Complications	1	hsa-mir-155	100	0.027681660899654	0.132580586414132	1
disease	Osteosarcoma 	1	hsa-mir-21	100	0.027681660899654	0.132580586414132	1
disease	Sarcoma, Ewing	2	hsa-mir-21, hsa-let-7b	20	0.0284263631113158	0.13265636118614	1
disease	Hypertrophy	3	hsa-let-7b, hsa-mir-21, hsa-mir-155	11.1111111111111	0.0339103685673957	0.14813094391258	1
disease	Polycythemia Vera	2	hsa-mir-155, hsa-mir-21	18.1818181818182	0.0341840639798262	0.14813094391258	1
disease	HIV	2	hsa-mir-21, hsa-mir-155	18.1818181818182	0.0341840639798262	0.14813094391258	1
disease	Lupus Erythematosus, Systemic	3	hsa-mir-21, hsa-mir-155, hsa-mir-30a	10.3448275862069	0.0409329999525521	0.165752540184184	1
disease	Inflammation	3	hsa-mir-21, hsa-mir-155, hsa-let-7b	9.67741935483871	0.0486556443288991	0.165752540184184	1
