regulator	target	category	evidence	source	regulator.association.disease	target.association.disease	is_regulator_in_disease	is_target_in_disease	target.reg	regulator.reg
AHR	TFF1	tf-gene	Experimental	Transfac	Breast Neoplasms, Neoplasms, Stomach Neoplasms, Inflammation, Liver Neoplasms, Pneumonia, Neoplasm Metastasis, Arthritis, Rheumatoid, Infertility, Male, Atherosclerosis, Heart Defects, Congenital, Hypertension, Atrophy, Bone Resorption, Chronobiology Disorders, Drug-Induced Liver Injury, Dyslipidemias, Growth Disorders, Hyperoxia, Hypertrophy, Hyperventilation, Liver Diseases, Neoplasms, Experimental, Pancreatic cancer, adult, Pancreatic Neoplasms, Peanut Hypersensitivity, Peripheral Nervous System Diseases, Silicosis, Splenic Diseases, Splenomegaly, Tachycardia, Ureteral Neoplasms	Acute Lung Injury, Mammary Neoplasms, Experimental	TRUE	FALSE	1	1
AHR	FOS	tf-gene	Experimental	Transfac	Breast Neoplasms, Neoplasms, Stomach Neoplasms, Inflammation, Liver Neoplasms, Pneumonia, Neoplasm Metastasis, Arthritis, Rheumatoid, Infertility, Male, Atherosclerosis, Heart Defects, Congenital, Hypertension, Atrophy, Bone Resorption, Chronobiology Disorders, Drug-Induced Liver Injury, Dyslipidemias, Growth Disorders, Hyperoxia, Hypertrophy, Hyperventilation, Liver Diseases, Neoplasms, Experimental, Pancreatic cancer, adult, Pancreatic Neoplasms, Peanut Hypersensitivity, Peripheral Nervous System Diseases, Silicosis, Splenic Diseases, Splenomegaly, Tachycardia, Ureteral Neoplasms	Hypertension, Reperfusion Injury, Carcinoma, Hepatocellular, Breast Neoplasms, Endometriosis, Seizures, Amphetamine-Related Disorders, Amyotrophic lateral sclerosis 1, Anxiety Disorders, Brain Injuries, Cocaine-Related Disorders, Epilepsy, Fibrous Dysplasia of Bone, Hemorrhage, Hyperkinesis, Infarction, Middle Cerebral Artery, Lung Neoplasms, Nervous System Diseases, Neurotoxicity Syndromes, Status Epilepticus, Substance Withdrawal Syndrome	TRUE	TRUE	1	1
AHR	HSPB1	tf-gene	Experimental	Transfac	Breast Neoplasms, Neoplasms, Stomach Neoplasms, Inflammation, Liver Neoplasms, Pneumonia, Neoplasm Metastasis, Arthritis, Rheumatoid, Infertility, Male, Atherosclerosis, Heart Defects, Congenital, Hypertension, Atrophy, Bone Resorption, Chronobiology Disorders, Drug-Induced Liver Injury, Dyslipidemias, Growth Disorders, Hyperoxia, Hypertrophy, Hyperventilation, Liver Diseases, Neoplasms, Experimental, Pancreatic cancer, adult, Pancreatic Neoplasms, Peanut Hypersensitivity, Peripheral Nervous System Diseases, Silicosis, Splenic Diseases, Splenomegaly, Tachycardia, Ureteral Neoplasms	Charcot-Marie-Tooth disease, Type 2F, Neuronopathy, Distal Hereditary Motor, Type IIB, Carcinoma, Hepatocellular, Carcinoma, Squamous Cell, Carcinoma, Renal Cell, Multiple Myeloma, Colonic Neoplasms, HIV Infections, Leukemia, Myeloid, Acute, Adenocarcinoma of lung, Cardiomyopathy, Hypertrophic, Heart Failure, Hyperplasia, Mouth Neoplasms, Reperfusion Injury, Status Epilepticus, Stomach Neoplasms, Tongue Neoplasms	TRUE	FALSE	1	1
AHR	CYP1A1	tf-gene	Experimental	Transfac	Breast Neoplasms, Neoplasms, Stomach Neoplasms, Inflammation, Liver Neoplasms, Pneumonia, Neoplasm Metastasis, Arthritis, Rheumatoid, Infertility, Male, Atherosclerosis, Heart Defects, Congenital, Hypertension, Atrophy, Bone Resorption, Chronobiology Disorders, Drug-Induced Liver Injury, Dyslipidemias, Growth Disorders, Hyperoxia, Hypertrophy, Hyperventilation, Liver Diseases, Neoplasms, Experimental, Pancreatic cancer, adult, Pancreatic Neoplasms, Peanut Hypersensitivity, Peripheral Nervous System Diseases, Silicosis, Splenic Diseases, Splenomegaly, Tachycardia, Ureteral Neoplasms	Diabetes Mellitus, Experimental, Breast Neoplasms, Pulmonary Disease, Chronic Obstructive, Prostatic Neoplasms, Infertility, Male, Abortion, Spontaneous, Carcinoma, Hepatocellular, Hypertension, Hamartoma, Arteritis, Cardiomegaly, Dermatitis, Allergic Contact, Drug Eruptions, Hypersensitivity, Kidney Neoplasms, Occupational Diseases, Peripheral Vascular Diseases	TRUE	TRUE	1	1
AKNA	CD40	tf-gene	Experimental	Transfac		IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 3, Arthritis, Rheumatoid, Multiple Sclerosis, Mucocutaneous Lymph Node Syndrome, Breast Neoplasms, Status Epilepticus	FALSE	TRUE	1	1
AKT1	hsa-mir-155	tf-mirna	Experimental	Transmir	Schizophrenia, Prostatic Neoplasms, Breast Neoplasms, Lung Neoplasms, Malignant neoplasm breast, Carcinoma, Squamous Cell, Colorectal Neoplasms, Amphetamine-Related Disorders, Ovarian Neoplasms, Marijuana Abuse, Skin Neoplasms, Proteus Syndrome, Meningioma, Muscular Atrophy, Adenomatous Polyposis Coli, Aortic Valve, Calcification of, BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1, Epilepsy, Hyperplasia, Leukemia, Promyelocytic, Acute, Pain, Psychoses, Substance-Induced	Breast Neoplasms, Breast Neoplasms, Breast Neoplasms, Breast Neoplasms, Burkitt Lymphoma, Burkitt Lymphoma, Burkitt Lymphoma, Burkitt Lymphoma, Burkitt Lymphoma, Colonic Neoplasms, Down Syndrome, Hodgkin Disease, Hodgkin Disease, Hodgkin Disease, Leukemia, B-Cell, Leukemia, B-Cell, Leukemia, B-Cell, Leukemia, Lymphocytic, Chronic, B-Cell, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lymphoma, B-Cell, Lymphoma, Large B-Cell, Diffuse, Lymphoma, Large B-Cell, Diffuse, Muscular Disorders, Atrophic, Neoplasms, Polycythemia Vera, Renal Insufficiency, Burkitt Lymphoma, Burkitt Lymphoma, Myeloproliferative Disorders, Pancreatic Neoplasms, Polycythemia Vera, Carcinoma, Renal Cell, Uterine Cervical Neoplasms, Adenocarcinoma, Head and Neck Neoplasms, Hodgkin Disease, Ovarian Neoplasms, Pancreatic Neoplasms, Adrenocortical Carcinoma, Hypertension, Waldenstrom Macroglobulinemia, Cerebral Hemorrhage, Carcinoma, Hepatocellular, Adenocarcinoma, Leukemia, Lymphocytic, Chronic, B-Cell, Breast Neoplasms, Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Hereditary Nonpolyposis, Adenocarcinoma, Carcinoma, Carcinoma, Squamous Cell, Francisella, Stroke, Adenocarcinoma, Carcinoma, Hepatocellular, Stomach Neoplasms, Fibroblasts, Neoplasms, Lymphoma, Extranodal NK-T-Cell, Lung Neoplasms, Myocardial Infarction, Melanoma, Glioblastoma, Breast Neoplasms, Breast Neoplasms, Colitis, Ulcerative, Colonic Neoplasms, Leukemia, Lymphocytic, Chronic, B-Cell, Leukemia, Myeloid, Acute, Lymphoma, Large-Cell, Anaplastic, Melanoma, Neoplasms, Neoplasms, Pancreatic Neoplasms, Pre-Eclampsia, Glioblastoma, Endometrial Neoplasms, Carcinoma, Non-Small-Cell Lung, Pre-Eclampsia, Inflammation, Cystic Fibrosis, Leukemia, Lymphocytic, Chronic, B-Cell, Inflammation, Mycosis Fungoides, Leukemia, Lymphocytic, Chronic, B-Cell, Colorectal Neoplasms, Breast Neoplasms, Melanoma, Thyroid Neoplasms, Nasopharyngeal Neoplasms, Carcinoma, Non-Small-Cell Lung, Arthritis, Rheumatoid, Glomerulonephritis, IGA, Intervertebral Disk, Hepatitis C, Carcinoma, Hepatocellular, Lung Neoplasms, Hypertrophy, Hypertrophy, Carcinoma, Renal Cell, Encephalomyelitis, Autoimmune, Experimental, Periodontal Diseases, Acute Coronary Syndrome, Colorectal Neoplasms, Pancreatic Neoplasms, Burkitt Lymphoma, Melanoma, Gastritis, Atrophic, Colitis, Lung Neoplasms, Multiple Sclerosis, Breast Neoplasms, Mycosis Fungoides, Lymphoma, B-Cell, Lupus Erythematosus, Systemic, Carcinoma, Hepatocellular, Tuberculosis, Pulmonary, Osteoarthritis, Lung Neoplasms, Tuberculosis, Pulmonary, Cardiomyopathy, Dilated, Myocardial Infarction, Ischemia, Carcinoma, Hepatocellular, HIV, Lymphoma, Arthritis, Rheumatoid, Breast Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Lichen Planus, Oral, Leukemia, B-Cell, Inflammation, Down Syndrome, Leukemia, Lymphocytic, Chronic, B-Cell, Breast Neoplasms, Myelodysplastic Syndromes, Lymphoma, Carcinoma, Non-Small-Cell Lung, Lymphoma, Carcinoma, Renal Cell, Inflammation, Lymphoma, Non-Hodgkin, Liposarcoma, Breast Neoplasms, Myelodysplastic Syndromes, Urinary Bladder Neoplasms, Graft vs Host Disease, Head and Neck Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Glioblastoma, Leukemia, Myelogenous, Chronic, BCR-ABL Positive, Demyelinating Diseases, Breast Neoplasms, Asthma, Lymphoma, Large B-Cell, Diffuse, Carcinoma, Hepatocellular, Leukemia, Myeloid, Acute, Breast Neoplasms, Behcet Syndrome, Hepatitis C, Pancreatic Neoplasms, Leukemia-Lymphoma, Adult T-Cell, Esophageal Neoplasms, Pancreatic Neoplasms, Carcinoma, Neuroendocrine, Lymphoma, B-Cell, Heart Failure, Atrial Fibrillation, Colonic Neoplasms, Atherosclerosis, Carcinoma, Renal Cell, Kidney Diseases, Breast Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Neoplasms, Stomach Diseases, Inflammation, Diabetes Complications, Inflammatory Bowel Diseases, Glioblastoma, Breast Neoplasms, Carcinoma, Hepatocellular, Atherosclerosis, Breast Neoplasms, Breast Neoplasms, Laryngeal Neoplasms, Leukemia-Lymphoma, Adult T-Cell, Leukemia, Lymphocytic, Chronic, B-Cell, Uterine Cervical Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Diabetes Mellitus, Atherosclerosis, Leukemia, Myeloid, Acute, Pancreatic Neoplasms	TRUE	TRUE	0	1
AR	CDKN1A	tf-gene	Experimental	Transfac	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Colonic Neoplasms, Prostatic Neoplasms, Urinary Bladder Neoplasms, Lung Neoplasms, Papilloma, Stomach Neoplasms, Esophageal Squamous Cell Carcinoma, Carcinoma, Transitional Cell, Intestinal Neoplasms, HIV Infections, Kidney Diseases, Muscular Dystrophy, Facioscapulohumeral, Reperfusion Injury	TRUE	FALSE	1	1
AR	LCP1	tf-gene	Experimental	PMID20584335	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Tobacco Use Disorder	TRUE	FALSE	1	1
AR	F9	tf-gene	Experimental	Transfac	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Hemophilia B, Thrombophilia, X-Linked, Due To Factor Ix Defect, Hemophilia A, Coumarin Resistance, Thrombosis	TRUE	FALSE	1	1
AR	PIGR	tf-gene	Experimental	Transfac	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Glomerulonephritis, IGA	TRUE	FALSE	1	1
