Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
function	Folliculogenesis	3	hsa-mir-125b, hsa-let-7b, hsa-mir-21	42.8571428571429	0.0010130323572074	0.0303909707162221	0.0303909707162221
function	Granulopoiesis	2	hsa-mir-155, hsa-mir-21	20	0.0434031261423525	0.464025369822592	1
disease	Carcinoma, Neuroendocrine	2	hsa-mir-155, hsa-mir-21	100	0.000215888169927978	0.0366177819889297	0.0369168770576842
disease	Lymphoma, Non-Hodgkin	2	hsa-mir-155, hsa-mir-21	66.6666666666667	0.00064241722787596	0.0366177819889297	0.109853345966789
disease	Demyelinating Diseases	2	hsa-mir-21, hsa-mir-155	66.6666666666667	0.00064241722787596	0.0366177819889297	0.109853345966789
disease	Liposarcoma	2	hsa-let-7b, hsa-mir-155	50	0.00127442202330497	0.0544815414962876	0.21792616598515
disease	Cardiomyopathy, Dilated	2	hsa-mir-155, hsa-mir-21	33.3333333333333	0.00313460316617858	0.0665657439446368	0.536017141416537
disease	Inflammatory Bowel Diseases	2	hsa-mir-21, hsa-mir-155	28.5714285714286	0.00435285132579627	0.0665657439446368	0.744337576711162
disease	Lymphoma, Large B-Cell, Diffuse	2	hsa-mir-155, hsa-mir-21	25	0.0057567169808373	0.0665657439446368	0.984398603723179
disease	Colitis, Ulcerative	2	hsa-mir-155, hsa-mir-21	25	0.0057567169808373	0.0665657439446368	0.984398603723179
disease	Lichen Planus, Oral	2	hsa-mir-21, hsa-mir-155	25	0.0057567169808373	0.0665657439446368	0.984398603723179
disease	Hypertrophy	3	hsa-let-7b, hsa-mir-21, hsa-mir-155	11.1111111111111	0.00634344463265671	0.0665657439446368	1
disease	Diabetes Mellitus	2	hsa-mir-21, hsa-mir-155	22.2222222222222	0.00734143149469816	0.0665657439446368	1
disease	Sarcoma, Ewing	2	hsa-mir-21, hsa-let-7b	20	0.0091023027625163	0.0665657439446368	1
disease	Inflammation	3	hsa-mir-21, hsa-mir-155, hsa-let-7b	9.67741935483871	0.00944020348527703	0.0665657439446368	1
disease	Polycythemia Vera	2	hsa-mir-155, hsa-mir-21	18.1818181818182	0.0110347143064247	0.0665657439446368	1
disease	HIV	2	hsa-mir-21, hsa-mir-155	18.1818181818182	0.0110347143064247	0.0665657439446368	1
disease	Pre-Eclampsia	3	hsa-mir-155, hsa-let-7b, hsa-mir-21	8.33333333333333	0.0144029188831617	0.0665657439446368	1
disease	Hepatitis C	3	hsa-mir-155, hsa-mir-21, hsa-let-7b	8.10810810810811	0.015547653300206	0.0665657439446368	1
disease	Renal Insufficiency	1	hsa-mir-155	100	0.0155709342560554	0.0665657439446368	1
disease	Focal Epithelial Hyperplasia	1	hsa-mir-21	100	0.0155709342560554	0.0665657439446368	1
disease	Carcinoma, Ductal, Breast	1	hsa-mir-21	100	0.0155709342560554	0.0665657439446368	1
disease	Granulosa Cell Tumor	1	hsa-mir-21	100	0.0155709342560554	0.0665657439446368	1
disease	Colorectal Neoplasms, Hereditary Nonpolyposis	1	hsa-mir-155	100	0.0155709342560554	0.0665657439446368	1
disease	Francisella	1	hsa-mir-155	100	0.0155709342560554	0.0665657439446368	1
disease	Fibroblasts	1	hsa-mir-155	100	0.0155709342560554	0.0665657439446368	1
disease	Adenoma	1	hsa-mir-21	100	0.0155709342560554	0.0665657439446368	1
disease	Neuroma, Acoustic	1	hsa-mir-21	100	0.0155709342560554	0.0665657439446368	1
disease	Cystic Fibrosis	1	hsa-mir-155	100	0.0155709342560554	0.0665657439446368	1
