Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
disease	Scleroderma, Localized	1	hsa-mir-29a	100	0.00865051903114167	0.198371485764318	0.605536332179917
disease	Cataract	1	hsa-let-7b	100	0.00865051903114167	0.198371485764318	0.605536332179917
disease	Liver Neoplasms	2	hsa-mir-29a, hsa-let-7b	10.5263157894737	0.00966192117770072	0.198371485764318	0.676334482439051
disease	Precursor Cell Lymphoblastic Leukemia-Lymphoma	2	hsa-mir-29a, hsa-let-7b	8.33333333333333	0.0153213915679483	0.198371485764318	1
disease	Irritable Bowel Syndrome	1	hsa-mir-29a	50	0.0172410691261927	0.198371485764318	1
disease	Biliary Atresia	1	hsa-mir-29a	50	0.0172410691261927	0.198371485764318	1
disease	Mouth Neoplasms	2	hsa-let-7b, hsa-mir-29a	7.14285714285714	0.0206878055883913	0.198371485764318	1
disease	Inflammation	2	hsa-mir-29a, hsa-let-7b	6.45161290322581	0.0251788985818601	0.198371485764318	1
disease	Acquired Immunodeficiency Syndrome	1	hsa-mir-29a	33.3333333333333	0.0257719626233611	0.198371485764318	1
disease	Liposarcoma	1	hsa-let-7b	25	0.0342435107744623	0.198371485764318	1
disease	Influenza, Human	1	hsa-mir-29a	25	0.0342435107744623	0.198371485764318	1
disease	Hepatitis C	2	hsa-mir-29a, hsa-let-7b	5.40540540540541	0.0352975282610607	0.198371485764318	1
disease	Endomyocardial Fibrosis	1	hsa-mir-29a	20	0.0426560237468102	0.198371485764318	1
disease	Liver Diseases	1	hsa-mir-29a	20	0.0426560237468102	0.198371485764318	1
disease	Leukemia, Myeloid, Chronic-Phase	1	hsa-mir-29a	20	0.0426560237468102	0.198371485764318	1
disease	Retinoblastoma	2	hsa-let-7b, hsa-mir-29a	4.54545454545455	0.0488916143611522	0.198371485764318	1
