regulator	target	category	evidence	source	regulator.association.disease	target.association.disease	is_regulator_in_disease	is_target_in_disease	target.reg	regulator.reg
AR	F9	tf-gene	Experimental	Transfac	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Hemophilia B, Thrombophilia, X-Linked, Due To Factor Ix Defect, Hemophilia A, Coumarin Resistance, Thrombosis	TRUE	FALSE	1	1
AR	AR	tf-gene	Experimental	Transfac	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	Androgen-Insensitivity Syndrome, Hypertension, Prostatic Neoplasms, Infertility, Male, Breast Neoplasms, Reifenstein syndrome, Carcinoma, Hepatocellular, Autistic Disorder, Prostatic Intraepithelial Neoplasia, Insulin Resistance, Bulbospinal neuronopathy, X-linked recessive, Leukemia, Alopecia, Breast Neoplasms, Male, Diabetes, Gestational, Hypospadias 1, X-Linked, Neoplasm Recurrence, Local	TRUE	TRUE	1	1
CEBPD	SERPINE1	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Hepatocellular, Myocardial Ischemia	Diabetic Nephropathies, Pre-Eclampsia, Thrombosis, Atherosclerosis, Kidney Failure, Chronic, Stomach Neoplasms, Fatty Liver, Prostatic Neoplasms, Liver Neoplasms, Autistic Disorder, Behcet Syndrome, Glomerulosclerosis, Focal Segmental, Nephrotic Syndrome, Cholestasis, Diabetes Mellitus, Experimental, Nervous System Diseases, Plasminogen Activator Inhibitor-1 Deficiency	TRUE	FALSE	1	1
CNBP	MYC	tf-gene	Experimental	Transfac	Dystrophia myotonica 2	Burkitt Lymphoma, Carcinoma, Hepatocellular, Colonic Neoplasms, Neoplasms, Prostatic Neoplasms, Medulloblastoma, Liver Neoplasms, Neuroblastoma, Glioblastoma, Ovarian Neoplasms, Hemangiosarcoma, Neuroectodermal Tumors, Lung Neoplasms, Myelodysplastic Syndromes, Stomach Neoplasms, Cardiomyopathy, Hypertrophic, Cell Transformation, Neoplastic, Hypertrophy, Left Ventricular, Liver Neoplasms, Experimental	FALSE	TRUE	1	1
CREM	FOS	tf-gene	Experimental	Transfac	Chloracne, Dermatitis, Allergic Contact, Hypertrophy, Myocardial Infarction	Hypertension, Reperfusion Injury, Carcinoma, Hepatocellular, Breast Neoplasms, Endometriosis, Seizures, Amphetamine-Related Disorders, Amyotrophic lateral sclerosis 1, Anxiety Disorders, Brain Injuries, Cocaine-Related Disorders, Epilepsy, Fibrous Dysplasia of Bone, Hemorrhage, Hyperkinesis, Infarction, Middle Cerebral Artery, Lung Neoplasms, Nervous System Diseases, Neurotoxicity Syndromes, Status Epilepticus, Substance Withdrawal Syndrome	FALSE	TRUE	1	1
CREM	CCND1	tf-gene	Experimental	Transfac	Chloracne, Dermatitis, Allergic Contact, Hypertrophy, Myocardial Infarction	Colorectal Neoplasms, Prostatic Neoplasms, Carcinoma, Transitional Cell, Mammary Neoplasms, Experimental, Carcinoma, Breast Neoplasms, Multiple Myeloma, Carcinoma, Hepatocellular, Stomach Neoplasms, Leukemia, Lymphocytic, Chronic, B-Cell, Esophageal Neoplasms, Lung Neoplasms, Leukemia, Hyperplasia, Hyperparathyroidism, Carcinoma, Adenoid Cystic, von Hippel-Lindau Disease, Precancerous Conditions, Colonic Neoplasms, Brain Neoplasms, Kidney Neoplasms, Papilloma, Intestinal Polyps, Cecal Neoplasms, Cell Transformation, Neoplastic, Hemangiosarcoma, Mammary Neoplasms, Animal, Myocardial Ischemia, Neoplasms, Experimental, Salivary Gland Neoplasms, Urologic Neoplasms	FALSE	TRUE	1	1
E2F1	hsa-let-7b	tf-mirna	Experimental	PMID20584335	Breast Neoplasms, Melanoma, Carcinoma, Hepatocellular	Colonic Neoplasms, Heart Failure, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Lung Neoplasms, Neoplasms, Neoplasms, Neoplasms, Ovarian Neoplasms, Neoplasms, Digestive System Neoplasms, Head and Neck Neoplasms, Neoplasms, Sarcoma, Kaposi, Lung Neoplasms, Melanoma, Pancreatic Neoplasms, Pituitary Neoplasms, Lymphoma, Primary Effusion, Adrenocortical Carcinoma, Neurodegenerative Diseases, Neoplasms, Carcinoma, Hepatocellular, Mouth Neoplasms, Neoplasms, Retinoblastoma, Asthma, Carcinoma, Hepatocellular, Leukemia, Myeloid, Acute, Mouth Neoplasms, Ovarian Neoplasms, Hypertrophy, Carcinoma, Renal Cell, Precursor Cell Lymphoblastic Leukemia-Lymphoma, Pre-Eclampsia, Myelodysplastic Syndromes, Nasopharyngeal Neoplasms, Liposarcoma, Pancreatic Neoplasms, Carcinoma, Non-Small-Cell Lung, Inflammation, Colorectal Neoplasms, Endometrial Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Lung Neoplasms, Endometriosis, Cataract, Breast Neoplasms, Hepatitis C, Breast Neoplasms, Liver Neoplasms, Prostatic Neoplasms, Breast Neoplasms, Esophageal Neoplasms, Sarcoma, Ewing, Precursor Cell Lymphoblastic Leukemia-Lymphoma, Carcinoma, Hepatocellular, Carcinoma, Non-Small-Cell Lung, Carcinoma, Non-Small-Cell Lung, Melanoma	TRUE	TRUE	0	1
E2F1	HIST1H2AM	tf-gene	Experimental	Transfac	Breast Neoplasms, Melanoma, Carcinoma, Hepatocellular		TRUE	FALSE	1	1
E2F1	DIRAS3	tf-gene	Experimental	PMID20584335	Breast Neoplasms, Melanoma, Carcinoma, Hepatocellular		TRUE	FALSE	1	1
E2F1	CDKN2A	tf-gene	Experimental	PMID20584335	Breast Neoplasms, Melanoma, Carcinoma, Hepatocellular	Melanoma-Pancreatic Cancer Syndrome, MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2, Lung Neoplasms, Stomach Neoplasms, Esophageal Neoplasms, Neoplasms, Adenocarcinoma, Glioma, Precursor Cell Lymphoblastic Leukemia-Lymphoma, Carcinoma, Non-Small-Cell Lung, Multiple Myeloma, Lymphoma, Pancreatic Neoplasms, Urinary Bladder Neoplasms, Mesothelioma, Neuroblastoma, Lymphoma, Large B-Cell, Diffuse, Brain Neoplasms, Adenocarcinoma Of Esophagus, Liver Neoplasms, Li-Fraumeni Syndrome, Vulvar Lichen Sclerosus, Glaucoma, Sarcoma family syndrome of Li and Fraumeni, Melanoma astrocytoma syndrome, Peripheral Nervous System Diseases, Poisoning, Translocation, Genetic, Urogenital Neoplasms	TRUE	FALSE	1	1
E2F1	TP73	tf-gene	Experimental	PMID20584335	Breast Neoplasms, Melanoma, Carcinoma, Hepatocellular	Rhabdomyosarcoma, Alveolar	TRUE	FALSE	1	1
