gene.symbol	gene.entrezid
CRHBP	1393
FCN2	2220
FCN3	8547
CLEC4M	10332
OIT3	170392
DBH	1621
STAB2	55576
APOF	319
CLEC4G	339390
BCO2	83875
LPA	4018
MARCO	8685
COLEC10	10584
DNASE1L3	1776
LCAT	3931
CXCL14	9547
NAT2	10
CXCL12	6387
ECM1	1893
CFP	5199
CLEC1B	51266
ADAMTS13	11093
LIFR	3977
VIPR1	7433
HAO2	51179
C14ORF68	NA
DCN	1634
GDF2	2658
C8ORF4	NA
RCAN1	1827
INS-IGF2	723961
CNDP1	84735
CSRNP1	64651
SLC22A1	6580
C9	735
CXCL2	2920
GBA3	57733
MT1E	4493
KCNN2	3781
SOCS2	8835
TTC36	143941
ANGPTL6	83854
ADRA1A	146
GYS2	2998
JMJD5	79831
MT1G	4495
IL1RAP	3556
GNAO1	2775
CYP39A1	51302
AADAT	51166
MT1F	4494
ACSM3	6296
DCAF4L2	138009
RRM2	6241
RDH16	8608
UROC1	131669
COL15A1	1306
COX7B2	170712
SRD5A2	6716
CYP2C8	1558
GLYAT	10249
PBLD	64081
BCHE	590
GHR	2690
AFM	173
GSTZ1	2954
CD34	947
MYBL2	4605
AGXT2	64902
HSD17B13	345275
ALDH8A1	64577
FOXM1	2305
ASPG	374569
ESR1	2099
PTH1R	5745
SERPINA11	256394
ESM1	11082
MFSD2A	84879
TRIB1	10221
C3P1	388503
MT1X	4501
PLGLB2	5342
CYP1A2	1544
FOSB	2354
C7	730
CPEB3	22849
GPR128	84873
SSX1	6756
FBP1	2203
ZIC2	7546
MAGEA6	4102
IGFBP3	3486
NGFR	4804
MAGEA1	4100
ADH4	127
PRC1	9055
SPP2	6694
EGR1	1958
BMPER	168667
LYVE1	10894
GLYATL1	92292
NOTCH3	4854
CDC20	991
FOXO1	2308
FAM13A	10144
CD5L	922
MT2A	4502
SFRP5	6425
EPS8L3	79574
FOS	2353
MS4A6A	64231
ACADS	35
CYP2C9	1559
CD4	920
FCGR2B	2213
CCNB1	891
AKR1D1	6718
SAA4	6287
STEAP3	55240
FTCD	10841
