gene.symbol	gene.entrezid
GABRD	2563
COL15A1	1306
PLVAP	83483
SLC26A6	65010
CD34	947
CDKN3	1033
THBS4	7060
KIF4A	24137
CDCA5	113130
CDH13	1012
CCNB1	891
KIFC1	3833
ADAMTS13	11093
CENPF	1063
PRC1	9055
KIF2C	11004
FOXM1	2305
CDC25C	995
CDCA8	55143
BIRC5	332
PTTG1	9232
MYBL2	4605
CENPA	1058
CDCA3	83461
PLK1	5347
SKA1	220134
NUF2	83540
CXORF36	NA
HIGD1B	51751
FAM189B	10712
AMIGO3	386724
BUB1	699
DLGAP5	9787
RACGAP1	29127
SEMA3F	6405
OLFML2B	25903
TROAP	10024
MELK	9833
UBE2T	29089
PKMYT1	9088
EZH2	2146
TRIP13	9319
CDC20	991
WDR62	284403
TOMM40L	84134
RECQL4	9401
TOP2A	7153
ASPM	259266
RASD2	23551
KIF18B	146909
KIF20A	10112
C9ORF100	NA
AZI1	22994
AURKB	9212
ESM1	11082
GNAZ	2781
MSTO1	55154
UBE2C	11065
APLN	8862
SEMA5B	54437
HJURP	55355
NDUFA4L2	56901
CDK1	983
NDC80	10403
KIF23	9493
SPATS2	65244
CELSR3	1951
ANLN	54443
CSRNP1	64651
CAP2	5271
KIF14	9928
FBXL18	80028
E2F1	1869
GTSE1	51512
NOX4	50507
MKI67	4288
CENPE	1062
NT5DC2	64943
NEK2	4751
EPR1	NA
MAPT	4137
CENPL	91687
CCNB2	9133
KIF18A	81930
TACC3	10460
PLXDC1	57125
OLFML2A	169611
NOTCH3	4854
NCAPH	23397
TRAIP	10293
ERCC6L	54821
SKA3	221150
NCAPG	64151
NXPH4	11247
FANCI	55215
SPC24	147841
LOC222699	NA
PLAC8	29124
CCNA2	890
CCNF	899
DIAPH3	81624
HMMR	3161
RASL12	51285
TTK	7272
ECT2	1894
GBA	2629
EXO1	9156
AURKA	6790
BUB1B	701
TARBP1	6894
MESP2	145873
KIF15	56992
SHCBP1	79801
FLVCR1	28982
CDT1	81620
ECM1	1893
OIT3	170392
PYGO2	90780
TGM3	7053
FEN1	2237
SPC25	57405
ZIC2	7546
CENPM	79019
DSCC1	79075
FBXO43	286151
PHACTR3	116154
ARHGAP11A	9824
DTL	10673
RRM2	6241
HOXD9	3235
GPC3	2719
B4GALNT1	2583
CDKN2A	1029
HOXA13	3209
MDK	4192
DEPDC1	55635
RAD54L	546
FAM83D	81610
TCF19	6941
ROBO1	6091
DBH	1621
DUSP9	1852
EME1	146956
STMN1	3925
C12ORF48	NA
VPS45	11311
THY1	7070
CDC6	990
SFTA1P	207107
CCNE1	898
GMNN	51053
GJC1	10052
ASF1B	55723
LRRC14	9684
SGOL2	151246
CCDC99	54908
LIFR	3977
RFC4	5984
C5ORF34	NA
CDKN2C	1031
NEIL3	55247
NFKBIL2	4796
SGOL1	151648
C16ORF59	NA
CKAP2L	150468
STIL	6491
TTC13	79573
RCAN1	1827
MMP11	4320
KIF11	3832
UHRF1	29128
DDX39	10212
SCAMP3	10067
COL4A1	1282
RNASEH2A	10535
LAMA4	3910
ORC1L	4998
C1RL	51279
FANCD2	2177
C15ORF42	NA
FAM150A	389658
GINS1	9837
SOCS2	8835
FAM72B	653820
UBE2S	27338
JRK	8629
ANKRD52	283373
ZFP41	286128
ENAH	55740
PIGU	128869
MAD2L1	4085
BCAT2	587
MCM3	4172
CENPW	387103
HIST2H4A	8370
CSPG4	1464
MCM6	4175
TAF6	6878
ZWINT	11130
DNAJC6	9829
CEP55	55165
PEA15	8682
PAQR4	124222
N4BP2L1	90634
ANGPTL6	83854
SLCO1C1	53919
TK1	7083
PBK	55872
EBF2	64641
C8ORF33	NA
HOXD8	3234
MCM2	4171
WDR76	79968
PTP4A3	11156
RUSC1	23623
E2F2	1870
SLC7A11	23657
CFP	5199
TMEM106C	79022
IGF2BP3	10643
E2F8	79733
PIGC	5279
MTBP	27085
SMG5	23381
NECAB3	63941
KIAA0101	9768
FOXO1	2308
IRF8	3394
NETO2	81831
SPARCL1	8404
TRIM45	80263
DEPDC1B	55789
FAM40B	57464
NCRNA00176	284739
CEP250	11190
NUSAP1	51203
SMARCA4	6597
HDAC11	79885
CENPH	64946
MRAP2	112609
SNCG	6623
BCAN	63827
RAD51	5888
HMGCLL1	54511
CPEB3	22849
LOC84740	NA
CXCL12	6387
FATE1	89885
EBF1	1879
SPOCK1	6695
COX4I2	84701
CDCA2	157313
CBX2	84733
GPR182	11318
FOSB	2354
UBAP2L	9898
OR51E1	143503
ADAM15	8751
WDR67	93594
CDC45	8318
COL4A2	1284
TMEM120B	144404
OTUB2	78990
FAM72D	728833
OIP5	11339
GLDN	342035
MAGEA1	4100
MCM7	4176
SEZ6L2	26470
CCDC34	91057
TTC39A	22996
TRIB1	10221
FSTL4	23105
NDST3	9348
LOC92659	NA
PYGB	5834
ACADS	35
LPA	4018
CHAF1B	8208
IGSF3	3321
MSH2	4436
ID2	3398
PXDNL	137902
RGS5	8490
TCOF1	6949
IGF2BP1	10642
TSGA14	95681
TPX2	22974
ANKRD55	79722
IQGAP3	128239
CTHRC1	115908
LOC388152	NA
DYNC1I1	1780
COCH	1690
SPP1	6696
SLC41A3	54946
TMEM206	55248
KLHL12	59349
EHMT2	10919
LILRA2	11027
DACH1	1602
EFNA4	1945
BCO2	83875
G6PD	2539
CAD	790
KIAA0415	9907
C8ORF4	NA
ABCC10	89845
FOXS1	2307
LPL	3936
VIPR1	7433
TRIM16	10626
TNFRSF4	7293
IGFBP3	3486
EPS8L3	79574
ORC6L	23594
FOXK1	221937
FLAD1	80308
C19ORF61	NA
E2F7	144455
LAMC1	3915
CCDC28B	79140
CMTM6	54918
MYO18B	84700
ZNF517	340385
AKR1C3	8644
POLD1	5424
LPPR2	64748
APLP1	333
ANAPC7	51434
WDHD1	11169
GPAA1	8733
ISX	91464
SIGLEC7	27036
CDH24	1016
C21ORF56	NA
S100P	6286
CENPK	64105
IRAK1	3654
ARHGEF11	9826
XPO5	57510
ZC3H3	23144
C1QL1	10882
MUC13	56667
COL6A6	131873
NFIL3	4783
LYPD1	116372
HOXA10	3206
MLF1IP	79682
MCM10	55388
OTX1	5013
BRP44L	51660
SCNM1	79005
LRRC4	64101
NQO1	1728
POLQ	10721
GPR158	57512
RASGRF2	5924
UCK2	7371
MESP1	55897
CCT3	7203
FAM65C	140876
C21ORF58	NA
LCAT	3931
KIAA1462	57608
