Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
function	Folliculogenesis	2	hsa-mir-125b, hsa-let-7b	28.5714285714286	0.012838812164156	0.222487096375659	0.398003177088835
function	Inflammation	4	hsa-mir-1, hsa-mir-125b, hsa-mir-155, hsa-mir-192	9.75609756097561	0.0143540062177844	0.222487096375659	0.444974192751318
function	hematopoiesis	3	hsa-mir-125b, hsa-mir-1, hsa-mir-155	9.67741935483871	0.0411672747941646	0.265774213545924	1
function	cell death	4	hsa-mir-125b, hsa-mir-1, hsa-mir-155, hsa-let-7b	7.27272727272727	0.0414221785821811	0.265774213545924	1
disease	Liposarcoma	2	hsa-let-7b, hsa-mir-155	50	0.000746885939170466	0.0829043392479217	0.0829043392479217
disease	Renal Insufficiency	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Colorectal Neoplasms, Hereditary Nonpolyposis	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Francisella	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Fibroblasts	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Cystic Fibrosis	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Intervertebral Disk	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Encephalomyelitis, Autoimmune, Experimental	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Gastritis, Atrophic	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Colitis	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Cataract	1	hsa-let-7b	100	0.0121107266435986	0.103406973649188	1
disease	Graft vs Host Disease	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Diabetes Complications	1	hsa-mir-155	100	0.0121107266435986	0.103406973649188	1
disease	Asthma	2	hsa-let-7b, hsa-mir-155	9.52380952380952	0.0236717777894548	0.133730127793805	1
disease	Down Syndrome	1	hsa-mir-155	50	0.0240955185214062	0.133730127793805	1
disease	Lymphoma, Extranodal NK-T-Cell	1	hsa-mir-155	50	0.0240955185214062	0.133730127793805	1
disease	Drug-Induced Liver Injury	1	hsa-mir-192	50	0.0240955185214062	0.133730127793805	1
disease	Behcet Syndrome	1	hsa-mir-155	50	0.0240955185214062	0.133730127793805	1
disease	Carcinoma, Neuroendocrine	1	hsa-mir-155	50	0.0240955185214062	0.133730127793805	1
disease	Stomach Diseases	1	hsa-mir-155	50	0.0240955185214062	0.133730127793805	1
disease	Adrenocortical Carcinoma	3	hsa-let-7b, hsa-mir-155, hsa-mir-192	4.83870967741935	0.0300770714306266	0.158978806133312	1
disease	Lymphoma, Non-Hodgkin	1	hsa-mir-155	33.3333333333333	0.0359554688171526	0.173524219074084	1
disease	Demyelinating Diseases	1	hsa-mir-155	33.3333333333333	0.0359554688171526	0.173524219074084	1
disease	Hypertrophy	2	hsa-let-7b, hsa-mir-155	7.40740740740741	0.0381957376111848	0.17665528645173	1
disease	Lupus Erythematosus, Systemic	2	hsa-mir-192, hsa-mir-155	6.89655172413793	0.0436638369405827	0.193867436016187	1
disease	Inflammation	2	hsa-mir-155, hsa-let-7b	6.45161290322581	0.0494232890188532	0.210999426195873	1
