gene.symbol	gene.entrezid
CLEC1B	51266
GDF2	2658
CLEC4M	10332
CLEC4G	339390
BMPER	168667
COLEC10	10584
ADAMTS13	11093
ECM1	1893
STAB2	55576
CRHBP	1393
CXCL14	9547
FCN2	2220
FCN3	8547
MARCO	8685
CCBE1	147372
VIPR1	7433
GABRD	2563
NDST3	9348
GPM6A	2823
BMP10	27302
SFRP5	6425
PLVAP	83483
NTF3	4908
LIFR	3977
PTH1R	5745
SFTA1P	207107
CFP	5199
OIT3	170392
RSPO3	84870
COL6A6	131873
HHIP	64399
CDH13	1012
DACH1	1602
SLC5A1	6523
HIGD1B	51751
CDKN3	1033
PITPNM3	83394
ANGPTL6	83854
PAMR1	25891
BCO2	83875
PLAC8	29124
CENPA	1058
AMHR2	269
INS-IGF2	723961
LRAT	9227
OLFML3	56944
CDC25C	995
PHACTR3	116154
GPR182	11318
SLCO1C1	53919
DBH	1621
CSRNP1	64651
MT1F	4494
CCL23	6368
NBLA00301	79804
MELK	9833
RASD2	23551
NOX4	50507
PVALB	4151
NUDT10	53343
FAM65C	140876
EFNB3	1949
SFRP1	6422
FAM150A	389658
HAMP	57817
CD34	947
PELI2	57161
CDC45	8318
CDCA3	83461
SKA1	220134
SRPX	8406
COL15A1	1306
BIRC5	332
SEMA3F	6405
NGFR	4804
MT1G	4495
FAM180A	389558
C13ORF26	NA
NAT2	10
NUF2	83540
ITLN1	55600
AMIGO3	386724
BMP5	653
CHST4	10164
CXCL12	6387
HMGCLL1	54511
CPEB3	22849
DNASE1L3	1776
SLC6A19	340024
BUB1	699
TROAP	10024
ANKRD55	79722
CXORF36	NA
CDCA5	113130
UBE2T	29089
RASL12	51285
KIF18A	81930
CALN1	83698
DLGAP5	9787
KIF19	124602
PKMYT1	9088
C8ORF4	NA
KIF2C	11004
PYGO2	90780
LRRN3	54674
RCAN1	1827
SPC24	147841
TUBE1	51175
TMEM27	57393
OLFML2B	25903
N4BP2L1	90634
CDCA8	55143
SLITRK6	84189
C14ORF180	NA
RNF165	494470
PRC1	9055
TRIP13	9319
SPC25	57405
C21ORF62	NA
DIRAS3	9077
SPATS2	65244
NDC80	10403
LTK	4058
PRIMA1	145270
LPA	4018
CHRM2	1129
EBF2	64641
NXF3	56000
CNDP1	84735
UBE2C	11065
MT1M	4499
TBXA2R	6915
MT1H	4496
PCDH9	5101
KIF20A	10112
GPR128	84873
COX4I2	84701
ST6GAL2	84620
TTK	7272
THBS4	7060
EXO1	9156
FOSB	2354
FAM189B	10712
SKA3	221150
CYP1A2	1544
IRF8	3394
ANXA8	653145
JMJD5	79831
MND1	84057
TTC36	143941
KIF4A	24137
