Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
function	Cell differentiation	3	hsa-mir-1, hsa-mir-155, hsa-mir-16	17.6470588235294	0.0163751322899356	0.214820536487544	0.52400423327794
function	Folliculogenesis	2	hsa-mir-125b, hsa-let-7b	28.5714285714286	0.0214269729869499	0.214820536487544	0.685663135582396
function	cell death	5	hsa-mir-16, hsa-mir-125b, hsa-mir-1, hsa-mir-155, hsa-let-7b	9.09090909090909	0.0249612183325034	0.214820536487544	0.79875898664011
function	miRNA tumor suppressors	4	hsa-mir-1, hsa-let-7b, hsa-mir-125b, hsa-mir-16	10.8108108108108	0.0281842637851422	0.214820536487544	0.901896441124551
function	Inflammation	4	hsa-mir-1, hsa-mir-125b, hsa-mir-155, hsa-mir-192	9.75609756097561	0.0402631533449744	0.214820536487544	1
disease	Liposarcoma	2	hsa-let-7b, hsa-mir-155	50	0.00127442202330497	0.132951823263242	0.141460844586852
disease	Renal Insufficiency	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Colorectal Neoplasms, Hereditary Nonpolyposis	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Francisella	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Fibroblasts	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Cystic Fibrosis	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Intervertebral Disk	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Encephalomyelitis, Autoimmune, Experimental	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Gastritis, Atrophic	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Colitis	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Cataract	1	hsa-let-7b	100	0.0155709342560554	0.132951823263242	1
disease	Graft vs Host Disease	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Diabetes Complications	1	hsa-mir-155	100	0.0155709342560554	0.132951823263242	1
disease	Down Syndrome	1	hsa-mir-155	50	0.030925980342183	0.180672832525385	1
disease	Lymphoma, Extranodal NK-T-Cell	1	hsa-mir-155	50	0.030925980342183	0.180672832525385	1
disease	Drug-Induced Liver Injury	1	hsa-mir-192	50	0.030925980342183	0.180672832525385	1
disease	Behcet Syndrome	1	hsa-mir-155	50	0.030925980342183	0.180672832525385	1
disease	Carcinoma, Neuroendocrine	1	hsa-mir-155	50	0.030925980342183	0.180672832525385	1
disease	Stomach Diseases	1	hsa-mir-155	50	0.030925980342183	0.180672832525385	1
disease	Asthma	2	hsa-let-7b, hsa-mir-155	9.52380952380952	0.0388302215769057	0.215507729751827	1
disease	Lymphoma, Non-Hodgkin	1	hsa-mir-155	33.3333333333333	0.046067761899336	0.232432798673923	1
disease	Demyelinating Diseases	1	hsa-mir-155	33.3333333333333	0.046067761899336	0.232432798673923	1
