gene.symbol	gene.entrezid
ADAMTS13	11093
GDF2	2658
CLEC1B	51266
COLEC10	10584
CLEC4G	339390
CLEC4M	10332
ECM1	1893
CRHBP	1393
FCN2	2220
MARCO	8685
VIPR1	7433
BMPER	168667
FCN3	8547
STAB2	55576
OIT3	170392
AMHR2	269
ANGPTL6	83854
NDST3	9348
LIFR	3977
BMP10	27302
CXCL14	9547
DBH	1621
CFP	5199
PLVAP	83483
CXCL12	6387
BCO2	83875
PLAC8	29124
PHACTR3	116154
CCBE1	147372
LPA	4018
CDH13	1012
MT1G	4495
DNASE1L3	1776
PTH1R	5745
GPM6A	2823
CSRNP1	64651
NAT2	10
OLFML3	56944
MT1F	4494
PVALB	4151
CD34	947
NXF3	56000
MT1E	4493
INS-IGF2	723961
COL6A6	131873
APOF	319
LCAT	3931
PRIMA1	145270
GABRD	2563
LRAT	9227
CALN1	83698
C21ORF62	NA
PAMR1	25891
NUDT10	53343
FAM65C	140876
CHRM2	1129
C8ORF4	NA
FAM150A	389658
KCNN2	3781
CDKN3	1033
NTF3	4908
N4BP2L1	90634
AMIGO3	386724
CYP1A2	1544
CPEB3	22849
RCAN1	1827
COL15A1	1306
HIGD1B	51751
NGFR	4804
CXORF36	NA
MT1X	4501
SLC26A6	65010
HMGCLL1	54511
HAMP	57817
SFRP5	6425
GPR182	11318
GPR128	84873
SLITRK6	84189
CCL23	6368
CDCA5	113130
AADAT	51166
SLC17A8	246213
C1RL	51279
PELI2	57161
DACH1	1602
MT1H	4496
FOSB	2354
IRF8	3394
UBE2T	29089
DCN	1634
BMP5	653
IGFBP3	3486
MELK	9833
PRC1	9055
FAM189B	10712
TUBE1	51175
CDCA3	83461
SLCO1C1	53919
ADRA1A	146
PYGO2	90780
CNDP1	84735
CCNB1	891
CDC25C	995
PITPNM3	83394
BIRC5	332
SEMA3F	6405
MT1M	4499
MT2A	4502
BRP44L	51660
CDCA8	55143
EZH2	2146
FXN	2395
TTC36	143941
CENPA	1058
RASD2	23551
UBE2C	11065
JMJD5	79831
SPATS2	65244
OLFML2B	25903
INMT	11185
TRIB1	10221
KIFC1	3833
BUB1	699
ACADS	35
PKMYT1	9088
FOXM1	2305
TMEM27	57393
CMTM6	54918
SKA1	220134
FCGR2B	2213
EFNB3	1949
AURKB	9212
ESR1	2099
GPR123	84435
